"Source:","/Users/brun/Nextcloud/Projekte/SmartDisplay MK2/kicad/SmartDisplay_dogs102_v0.12/dogs102.kicad_sch"
"Date:","2022-04-11"
"Tool:","Eeschema 7.0.10"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Price","RS Price/Stock"
"1","3","C1, C2, C3","1u","Device:C","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","","","","","","","0.34","0,34"
"2","2","C4, C9","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","0.09",""
"3","1","C8","22u","dogs102-rescue:CP-Device","Capacitor_SMD:CP_Elec_5x3","","","","","","","","0.19",""
"4","1","D1","SMBJ15CA","Device:D_TVS","Diode_SMD:D_SMB","~","","","","","","","0.37",""
"5","1","DS1","EA_DOGS102W-6","dogs102-rescue:EA_DOGS102W-6-dogs102_n","fiz-o-matic:EA-DOGS102W-6","http://www.lcd-module.com/eng/pdf/grafik/dogs102-6e.pdf","","LCD Graphic Display Modules & Accessories FSTN (+) Transflect White Background","ELECTRONIC ASSEMBLY","EA DOGS102W-6","790-EADOGS102W-6","https://www.mouser.com/Search/Refine.aspx?Keyword=790-EADOGS102W-6","25.80",""
"6","2","H1, H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.2mm_M2","~","","","","","","","",""
"7","4","H3, H4, H5, H6","MouseBite","Mechanical:MountingHole","fiz-o-matic:mouse-bite-1mm-slot","~","","","","","","","",""
"8","1","J1","Conn_01x10_MountingPin","Connector_Generic_MountingPin:Conn_01x10_MountingPin","Connector_JST:JST_SH_SM10B-SRSS-TB_1x10-1MP_P1.00mm_Horizontal","~","","","","","","","0.97",""
"9","2","JP1, JP2","SolderJumper_2_Open","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","","","","","","","",""
"10","4","R1, R2, R3, R4","1k / 560","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","0.09",""
"11","1","R5","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"12","1","RV1","2.5k","dogs102-rescue:R_POT-Device","Potentiometer_THT:Potentiometer_Piher_PT-6-V_Vertical_Hole","","","","","","","","",""
"13","1","U1","BCR401WH6327XTSA1","BCR401:BCR401WH6327XTSA1","PG-SOT343-4-1_INF","BCR401WH6327XTSA1","","","","","","","",""
