Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.537500,17.750000,0.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",20.250000,27.537500,90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.500000,37.037500,90.000000,top
"C4","22u","CP_Elec_5x3.9",4.550000,31.290000,0.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.500000,27.212500,90.000000,top
"C6","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.462500,27.250000,0.000000,top
"C7","22u","CP_Elec_4x3.9",4.200000,21.290000,0.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.000000,35.212500,90.000000,top
"C9","22u","CP_Elec_4x3.9",4.200000,16.000000,0.000000,top
"C10","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.462500,18.500000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",32.787500,17.250000,0.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.750000,35.475000,90.000000,top
"C13","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",25.000000,34.812500,90.000000,top
"C14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.000000,32.462500,90.000000,top
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.537500,11.500000,0.000000,top
"D1","1N4148W","D_SOD-123",49.500000,41.850000,-90.000000,top
"D2","1N4148W","D_SOD-123",9.500000,21.500000,-90.000000,top
"D3","1N4148W","D_SOD-123",10.500000,34.650000,90.000000,top
"D4","BZV55-C12","D_MiniMELF",16.250000,34.750000,90.000000,top
"D5","SP0502BAHT","SOT-23",30.250000,22.750000,-90.000000,top
"D6","SMBJ5.0CA","D_SMB",41.792000,12.700000,180.000000,top
"F1","Polyfuse","Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder",4.762500,35.890000,0.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",30.500000,29.250000,180.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",1.750000,13.000000,0.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",55.000000,26.000000,0.000000,top
"J4","DISPLAY","JST_SH_BM10B-SRSS-TB_1x10-1MP_P1.00mm_Vertical",11.410000,7.890000,180.000000,top
"J5","I2C","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",22.610000,7.890000,180.000000,top
"L1","4.7uH","L_1206_3216Metric",10.750000,27.062500,90.000000,top
"R1","22k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",13.750000,35.500000,90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",31.000000,35.250000,-90.000000,top
"R3","4,7k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",21.250000,35.500000,90.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",29.000000,35.250000,-90.000000,top
"R5","4,7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.750000,15.250000,0.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.750000,19.250000,0.000000,top
"R7","120","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.500000,21.500000,90.000000,top
"U1","ATmega4808-A","TQFP-32_7x7mm_P0.8mm",19.750000,19.750000,0.000000,top
"U2","AP63203WU","TSOT-23-6",4.250000,26.090000,0.000000,top
"U3","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",42.000000,21.520000,180.000000,top
"U4","MCP2562-E-SN","SOIC-8_3.9x4.9mm_P1.27mm",53.467000,12.225000,-90.000000,top
"X1","ANTENNA_U.FL","U.FL_Molex_MCRF_73412-0110_Vertical",33.025000,42.250000,0.000000,top
"Y1","16MHz","Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm",50.400000,22.850000,-90.000000,top
